id,year,date,component,regions,states,title,url,pdf,matched_on
11,2026,2026-09-11,Incident / Flash Report,North West,Katsina,Nigeria — North-west Nigeria — Katsina State Flash Report 296 (14 August 2026),https://dtm.iom.int/reports/nigeria-north-west-nigeria-katsina-state-flash-report-296-14-august-2026,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/IOM%20Nigeria%20Flash%20Report%20North-west%20Katsina%20296.pdf,title:flash report
12,2026,2026-09-10,Transhumance Flow Monitoring Report,North West,Katsina; Zamfara,Nigeria — Transhumance Tracking Tool — Flow Monitoring Dashboard 22 — Katsina and Zamfara States (July 2026),https://dtm.iom.int/reports/nigeria-transhumance-tracking-tool-flow-monitoring-dashboard-22-katsina-and-zamfara-states,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/TTT__Transhumance_Flow_Monitoring%20Report%20No%2022_July%202026.pdf,title:transhumance
13,2026,2026-09-07,Early Warning & Early Response Dashboard,North West,Katsina; Zamfara,Nigeria — Transhumance Tracking Tool Report — Early Warning Dashboard 26 — Katsina and Zamfara States (July 2026),https://dtm.iom.int/reports/nigeria-transhumance-tracking-tool-report-early-warning-dashboard-26-katsina-and-zamfara,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/Nigeria%20%E2%80%94%20Transhumance%20Tracking%20Tool%20Report%20%E2%80%94%20Early%20Warning%20Dashboard%2026%20%28July%202026%29%20-%20Katsina%20and%20Zamfara%20states.pdf,title:early warning dashboard
14,2026,2026-08-14,Incident / Flash Report,North West,Katsina,Nigeria — North-west Nigeria — Katsina State Flash Report 295 (7–9 August 2026),https://dtm.iom.int/reports/nigeria-north-west-nigeria-katsina-state-flash-report-295-7-9-august-2026,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/IOM%20Nigeria%20Flash%20Report%20North-west%20Katsina%20295%20v2.pdf,title:flash report
15,2026,2026-08-06,Incident / Flash Report,North West,Zamfara,Nigeria — North-west Nigeria — Zamfara State Flash Report 294 (30 July 2026),https://dtm.iom.int/reports/nigeria-north-west-nigeria-zamfara-state-flash-report-294-30-july-2026,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/IOM%20Nigeria%20Flash%20Report%20North-west%20Zamfara%20294%20v3.pdf,title:flash report
16,2026,2026-08-06,Mobility Tracking – IDP & Returnee Atlas,North Central; North West,,Nigeria — North-central and North-west — Displacement Report 19 (January – February 2026),https://dtm.iom.int/reports/nigeria-north-central-and-north-west-displacement-report-19-january-february-2026,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/DTM%20Nigeria_NWNC_Needs%20Monitoring%20Round%2019_V7.pdf,title:displacement report
17,2026,2026-08-06,Mobility Tracking – Needs Monitoring,North Central; North West,,Nigeria — Needs Monitoring — DTM Nigeria NWNC Needs Monitoring Round 19,https://dtm.iom.int/reports/nigeria-north-central-and-north-west-displacement-report-19-january-february-2026#needs-monitoring-1,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/DTM%20Nigeria_NWNC_Needs%20Monitoring%20Round%2019_V7.pdf,attached file: DTM Nigeria_NWNC_Needs Monitoring Round 19
18,2026,2026-08-04,Incident / Flash Report,North West,Katsina,Nigeria — North-west Nigeria — Katsina State Flash Report 293 (29–30 July 2026),https://dtm.iom.int/reports/nigeria-north-west-nigeria-katsina-state-flash-report-293-29-30-july-2026,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/IOM%20Nigeria%20Flash%20Report%20North-west%20Katsina%20293%20v3.pdf,title:flash report
19,2026,2026-07-30,Mobility Tracking – IDP & Returnee Atlas,North East,,Nigeria — North-east — Displacement Report 52 (March 2026),https://dtm.iom.int/reports/nigeria-north-east-displacement-report-52-march-2026,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/Nigeria%20-%20North-east%20-%20Mobility%20Tracking%20Round%2052%20IDP%20and%20Returnee%20Atlas%20%28June%202026%29%20v8.pdf,title:displacement report
20,2026,2026-07-27,Transhumance Flow Monitoring Report,North West,Katsina; Zamfara,Nigeria — Transhumance Tracking Tool — Flow Monitoring Dashboard 21 — Katsina and Zamfara States (June 2026),https://dtm.iom.int/reports/nigeria-transhumance-tracking-tool-flow-monitoring-dashboard-21-katsina-and-zamfara-states,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/TTT__Transhumance_Flow_Monitoring%20Report%20No%2021_June%202026.pdf,title:transhumance
21,2026,2026-07-27,Early Warning & Early Response Dashboard,North West,Katsina; Zamfara,Nigeria — Transhumance Tracking Tool Report — Early Warning Dashboard 25 — Katsina and Zamfara States (June 2026),https://dtm.iom.int/reports/nigeria-transhumance-tracking-tool-report-early-warning-dashboard-25-katsina-and-zamfara,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/Nigeria%20%E2%80%94%20Transhumance%20Tracking%20Tool%20Report%20%E2%80%94%20Early%20Warning%20Dashboard%2025%20%28June%202026%29.pdf,title:early warning dashboard
22,2026,2026-06-24,Incident / Flash Report,North West,Zamfara,Nigeria — North-west Nigeria — Zamfara State Flash Report 292 (19 June 2026),https://dtm.iom.int/reports/nigeria-north-west-nigeria-zamfara-state-flash-report-292-19-june-2026,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/IOM%20Nigeria%20Flash%20Report%20North-west%20Zamfara%20292.pdf,title:flash report
23,2026,2026-06-22,Early Warning & Early Response Dashboard,North West,Katsina; Zamfara,Nigeria — Transhumance Tracking Tool Report — Early Warning Dashboard 24 — Katsina and Zamfara States (May 2026),https://dtm.iom.int/reports/nigeria-transhumance-tracking-tool-report-early-warning-dashboard-24-katsina-and-zamfara,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/Nigeria%20%E2%80%94%20TTT%20Report%20%E2%80%94%20Early%20Warning%20Dashboard%2024%20%28May%202026%29.pdf,title:early warning dashboard
24,2026,2026-06-19,Incident / Flash Report,North West,Zamfara,Nigeria — North-west Nigeria — Zamfara State Flash Report 291 (16 June 2026),https://dtm.iom.int/reports/nigeria-north-west-nigeria-zamfara-state-flash-report-291-16-june-2026,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/IOM%20Nigeria%20Flash%20Report%20North-west%20Zamfara%20291.pdf,title:flash report
25,2026,2026-06-16,Transhumance Flow Monitoring Report,North West,Katsina; Zamfara,Nigeria — Transhumance Tracking Tool — Flow Monitoring Dashboard 20 — Katsina and Zamfara States (May 2026),https://dtm.iom.int/reports/nigeria-transhumance-tracking-tool-flow-monitoring-dashboard-20-katsina-and-zamfara-states,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/TTT__Transhumance_Flow_Monitoring%20Report%20No%2020_May%202026.pdf,title:transhumance
26,2026,2026-06-04,Solutions Mobility Index / Stability Index,North East,Borno,Nigeria — Solution and Mobility Index Round 1 — Borno State (September 2025),https://dtm.iom.int/reports/nigeria-solution-and-mobility-index-round-1-borno-state-september-2025,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/Borno%20State%20Solutions%20and%20Mobility%20Index%20Report.pdf,title:mobility index
27,2026,2026-06-04,Incident / Flash Report,North West,Katsina,Nigeria — North-west Nigeria — Katsina State Flash Report 290 (01 June 2026),https://dtm.iom.int/reports/nigeria-north-west-nigeria-katsina-state-flash-report-290-01-june-2026,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/IOM%20Nigeria%20Flash%20Report%20North-west%20Katsina%20290.pdf,title:flash report
28,2026,2026-05-29,Solutions Mobility Index / Stability Index,North Central,Benue,Nigeria — Solutions and Mobility Index Round 1 — Benue State (August 2025),https://dtm.iom.int/reports/nigeria-solutions-and-mobility-index-round-1-benue-state-august-2025,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/R1%20Solutions%20and%20Mobility%20Index%20Report%20Benue%20State.pdf,title:mobility index
29,2026,2026-05-29,Solutions Mobility Index / Stability Index,North East,Adamawa,Nigeria — Solutions and Mobility Index Round 1 — Adamawa State (August 2025),https://dtm.iom.int/reports/nigeria-solutions-and-mobility-index-round-1-adamawa-state-august-2025,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/R1%20Solutions%20and%20Mobility%20Index%20Report%20Adamawa%20State.pdf,title:mobility index
30,2026,2026-05-21,Transhumance Flow Monitoring Report,North West,Katsina; Zamfara,Nigeria — Transhumance Tracking Tool — Flow Monitoring Dashboard 19 — Katsina and Zamfara States (April 2026),https://dtm.iom.int/reports/nigeria-transhumance-tracking-tool-flow-monitoring-dashboard-19-katsina-and-zamfara-states,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/TTT__Transhumance_Flow_Monitoring%20Report%20No%2019_April%202026.pdf,title:transhumance
31,2026,2026-05-20,Solutions Mobility Index / Stability Index,North East,Yobe,Nigeria — Solutions and Mobility Index Round 1 — Yobe State (August 2025),https://dtm.iom.int/reports/nigeria-solutions-and-mobility-index-round-1-yobe-state-august-2025,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/Solutions%20and%20Mobility%20Index%20Report%20Yobe%20State%20R1%20%28Aug%202025%29.pdf,title:mobility index
32,2026,2026-05-20,Incident / Flash Report,North West,Zamfara,Nigeria — North-west Nigeria — Zamfara State Flash Report 289 (16 May 2026),https://dtm.iom.int/reports/nigeria-north-west-nigeria-zamfara-state-flash-report-289-16-may-2026,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/IOM%20Nigeria%20Flash%20Report%20North-west%20Zamfara%20289.pdf,title:flash report
33,2026,2026-05-19,Early Warning & Early Response Dashboard,North West,Katsina; Zamfara,Nigeria — Transhumance Tracking Tool Report — Early Warning Dashboard 23 — Katsina and Zamfara States (April 2026),https://dtm.iom.int/reports/nigeria-transhumance-tracking-tool-report-early-warning-dashboard-23-katsina-and-zamfara,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/Nigeria%20%E2%80%94%20Early%20Warning%20Dashboard%2023%20%28April%202026%29%20-%20Katsina%20and%20Zamfara%20states.pdf,title:early warning dashboard
34,2026,2026-04-30,Incident / Flash Report,North West,Zamfara,Nigeria — North-west Nigeria — Zamfara State Flash Report 288 (25 April 2026),https://dtm.iom.int/reports/nigeria-north-west-nigeria-zamfara-state-flash-report-288-25-april-2026,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/IOM%20Nigeria%20Flash%20Report%20North-west%20Zamfara%20288.pdf,title:flash report
35,2026,2026-04-29,Early Warning & Early Response Dashboard,North West,Katsina; Zamfara,Nigeria — Transhumance Tracking Tool Report — Early Warning Dashboard 22 — Katsina and Zamfara States (March 2026),https://dtm.iom.int/reports/nigeria-transhumance-tracking-tool-report-early-warning-dashboard-22-katsina-and-zamfara,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/Nigeria%20%E2%80%94%20Transhumance%20Tracking%20Tool%20Report%20%E2%80%94%20Early%20Warning%20Dashboard%2022%20%28March%202026%29%20-%20Katsina%20and%20Zamfara%20states.pdf,title:early warning dashboard
36,2026,2026-04-27,Transhumance Flow Monitoring Report,North West,Katsina; Zamfara,Nigeria — Transhumance Tracking Tool — Flow Monitoring Dashboard 18 — Katsina and Zamfara States (March 2026),https://dtm.iom.int/reports/nigeria-transhumance-tracking-tool-flow-monitoring-dashboard-18-katsina-and-zamfara-states,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/TTT__Transhumance_Flow_Monitoring%20Report%20No%2018_March%202026.pdf,title:transhumance
37,2026,2026-04-27,Incident / Flash Report,North West,Katsina,Nigeria — North-west Nigeria — Katsina State Flash Report 287 (21 April 2026),https://dtm.iom.int/reports/nigeria-north-west-nigeria-katsina-state-flash-report-287-21-april-2026,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/IOM%20Nigeria%20Flash%20Report%20North-west%20Katsina%20287.pdf,title:flash report
38,2026,2026-04-24,Incident / Flash Report,North West,Zamfara,Nigeria — North-west Nigeria — Zamfara State Flash Report 286 (21 April 2026),https://dtm.iom.int/reports/nigeria-north-west-nigeria-zamfara-state-flash-report-286-21-april-2026,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/IOM%20Nigeria%20Flash%20Report%20North-west%20Zamfara%20286.pdf,title:flash report
39,2026,2026-04-22,Incident / Flash Report,North West,Zamfara,Nigeria — North-west Nigeria — Zamfara State Flash Report 285 (20 April 2026),https://dtm.iom.int/reports/nigeria-north-west-nigeria-zamfara-state-flash-report-285-20-april-2026,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/IOM%20Nigeria%20Flash%20Report%20North-west%20Zamfara%20285.pdf,title:flash report
40,2026,2026-04-20,Incident / Flash Report,North West,Zamfara,Nigeria — North-west Nigeria — Zamfara State Flash Report 284 (15 April 2026),https://dtm.iom.int/reports/nigeria-north-west-nigeria-zamfara-state-flash-report-284-15-april-2026,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/IOM%20Nigeria%20Flash%20Report%20North-west%20Zamfara%20284.pdf,title:flash report
41,2026,2026-04-09,Incident / Flash Report,North West,Katsina,Nigeria — North-west Nigeria — Katsina State Flash Report 283 (07 April 2026),https://dtm.iom.int/reports/nigeria-north-west-nigeria-katsina-state-flash-report-283-07-april-2026,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/IOM%20Nigeria%20Flash%20Report%20North-west%20Katsina%20283.pdf,title:flash report
42,2026,2026-04-07,Incident / Flash Report,North West,Zamfara,Nigeria — North-west Nigeria — Zamfara State Flash Report 282 (30 March 2026),https://dtm.iom.int/reports/nigeria-north-west-nigeria-zamfara-state-flash-report-282-30-march-2026,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/IOM%20Nigeria%20Flash%20Report%20North-west%20Zamfara%20282.pdf,title:flash report
43,2026,2026-03-27,Incident / Flash Report,North East; North West,Zamfara,Nigeria — North-east Nigeria — Zamfara State Flash Report 281 (13 March 2026),https://dtm.iom.int/reports/nigeria-north-east-nigeria-zamfara-state-flash-report-281-13-march-2026,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/IOM%20Nigeria%20Flash%20Report%20North-west%20Zamfara%20281.pdf,title:flash report
44,2026,2026-03-19,Transhumance Flow Monitoring Report,North West,Katsina; Zamfara,Nigeria — Transhumance Tracking Tool — Flow Monitoring Dashboard 17 — Katsina and Zamfara States (February 2026),https://dtm.iom.int/reports/nigeria-transhumance-tracking-tool-flow-monitoring-dashboard-17-katsina-and-zamfara-states,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/TTT__Transhumance_Flow_Monitoring%20Report%20No%2017_February%202026.pdf,title:transhumance
45,2026,2026-03-19,Early Warning & Early Response Dashboard,North West,Katsina; Zamfara,Nigeria — Transhumance Tracking Tool Report — Early Warning Dashboard 21 — Katsina and Zamfara States (February 2026),https://dtm.iom.int/reports/nigeria-transhumance-tracking-tool-report-early-warning-dashboard-21-katsina-and-zamfara,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/Nigeria%20%E2%80%94%20Early%20Warning%20Dashboard%2021%20%28February%202026%29.pdf,title:early warning dashboard
46,2026,2026-03-11,Incident / Flash Report,North West,Zamfara,Nigeria — North-west Nigeria — Zamfara State Flash Report 280 (10 March 2026),https://dtm.iom.int/reports/nigeria-north-west-nigeria-zamfara-state-flash-report-280-10-march-2026,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/IOM%20Nigeria%20Flash%20Report%20North-west%20Zamfara%20280.pdf,title:flash report
47,2026,2026-03-11,Incident / Flash Report,North East,Bauchi,Nigeria — North-east Nigeria — Bauchi State Flash Report 171 (10 March 2026),https://dtm.iom.int/reports/nigeria-north-east-nigeria-bauchi-state-flash-report-171-10-march-2026,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/IOM%20Nigeria%20Flash%20Report%20North-east%20Bauchi%20171.pdf,title:flash report
48,2026,2026-03-10,Biometric Registration Report,North Central,Benue,Nigeria — Biometric Registration Update Report 9 Benue State (March 2026),https://dtm.iom.int/reports/nigeria-biometric-registration-update-report-9-benue-state-march-2026,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/BENUE%20BIOMETRIC%20UPDATE%20REPORT_Round%209.pdf,title:biometric
49,2026,2026-03-09,Incident / Flash Report,North East,Bauchi,Nigeria — North-east Nigeria — Bauchi State Flash Report 170 (3 March 2026),https://dtm.iom.int/reports/nigeria-north-east-nigeria-bauchi-state-flash-report-170-3-march-2026,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/IOM%20Nigeria%20Flash%20Report%20North-east%20Bauchi%20170%20v3.pdf,title:flash report
50,2026,2026-03-06,Transhumance Flow Monitoring Report,North West,Katsina; Zamfara,Nigeria — Transhumance Tracking Tool — Flow Monitoring Dashboard 14 — Katsina and Zamfara States (November 2025),https://dtm.iom.int/reports/nigeria-transhumance-tracking-tool-flow-monitoring-dashboard-14-katsina-and-zamfara-states,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/TTT__Transhumance_Flow_Monitoring_November%202025_v8.pdf,title:transhumance
51,2026,2026-03-06,Early Warning & Early Response Dashboard,North West,Katsina; Zamfara,Nigeria — Transhumance Tracking Tool Report — Early Warning Dashboard 20 — Katsina and Zamfara States (January 2026),https://dtm.iom.int/reports/nigeria-transhumance-tracking-tool-report-early-warning-dashboard-20-katsina-and-zamfara,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/Nigeria%20%E2%80%94%20Transhumance%20Tracking%20Tool%20Report%20%E2%80%94%20Early%20Warning%20Dashboard%2020%20%28January%202026%29%20-%20Katsina%20and%20Zamfara%20states%20EU_V2.pdf,title:early warning dashboard
52,2026,2026-03-06,Early Warning & Early Response Dashboard,North West,Katsina; Zamfara,Nigeria — Transhumance Tracking Tool Report — Early Warning Dashboard 18 — Katsina and Zamfara States (October – November 2025),https://dtm.iom.int/reports/nigeria-transhumance-tracking-tool-report-early-warning-dashboard-18-katsina-and-zamfara,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/Nigeria%20%E2%80%94%20Transhumance%20Tracking%20Tool%20Report%20%E2%80%94%20Early%20Warning%20Dashboard%2018%20%28October%20and%20November%202025%29%20-%20Katsina%20and%20Zamfara%20states%20EU_V11.pdf,title:early warning dashboard
53,2026,2026-03-05,Transhumance Flow Monitoring Report,North West,Katsina; Zamfara,Nigeria — Transhumance Tracking Tool — Flow Monitoring Dashboard 16 — Katsina and Zamfara states (January 2026),https://dtm.iom.int/reports/nigeria-transhumance-tracking-tool-flow-monitoring-dashboard-16-katsina-and-zamfara-states,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/TTT__Transhumance_Flow_Monitoring%20Report%20No%2016_January%202026.pdf,title:transhumance
54,2026,2026-03-05,Incident / Flash Report,North West,Zamfara,Nigeria — North-west Nigeria — Zamfara State Flash Report 279 (4 March 2026),https://dtm.iom.int/reports/nigeria-north-west-nigeria-zamfara-state-flash-report-279-4-march-2026,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/IOM%20Nigeria%20Flash%20Report%20North-west%20Zamfara%20279%20v4.pdf,title:flash report
55,2026,2026-03-03,Early Warning & Early Response Dashboard,North West,Katsina; Zamfara,Nigeria — Transhumance Tracking Tool Report — Early Warning Dashboard 19 — Katsina and Zamfara State (December 2025),https://dtm.iom.int/reports/nigeria-transhumance-tracking-tool-report-early-warning-dashboard-19-katsina-and-zamfara,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/Nigeria%20%E2%80%94%20Transhumance%20Tracking%20Tool%20Report%20%E2%80%94%20Early%20Warning%20Dashboard%2019%20%28December%202025%29%20-%20Katsina%20and%20Zamfara%20states%20EU_V3.pdf,title:early warning dashboard
56,2026,2026-03-02,Transhumance Flow Monitoring Report,North West,Kaduna; Katsina,Nigeria — Transhumance Tracking Tool — Flow Monitoring Dashboard 15 — Kaduna and Katsina states (December 2025),https://dtm.iom.int/reports/nigeria-transhumance-tracking-tool-flow-monitoring-dashboard-15-kaduna-and-katsina-states,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/TTT__Transhumance_Flow_Monitoring_December%202025_v4.pdf,title:transhumance
57,2026,2026-03-02,Mobility Tracking – IDP & Returnee Atlas,North East,,Nigeria — North-East Displacement Report Round 51 (October 2025),https://dtm.iom.int/reports/nigeria-north-east-displacement-report-round-51-october-2025,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/NE%20Needs%20Monitoring%20Report%20R51.pdf,title:displacement report
58,2026,2026-03-02,Mobility Tracking – Needs Monitoring,North East,,Nigeria — Needs Monitoring — NE Needs Monitoring Report R51,https://dtm.iom.int/reports/nigeria-north-east-displacement-report-round-51-october-2025#needs-monitoring-1,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/NE%20Needs%20Monitoring%20Report%20R51.pdf,attached file: NE Needs Monitoring Report R51
59,2026,2026-02-27,Incident / Flash Report,North West,Zamfara,Nigeria — North-west Nigeria — Zamfara State Flash Report 278 (24 February 2026),https://dtm.iom.int/reports/nigeria-north-west-nigeria-zamfara-state-flash-report-278-24-february-2026,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/IOM%20Nigeria%20Flash%20Report%20North-west%20Zamfara%20278%20v3.pdf,title:flash report
60,2026,2026-02-18,Incident / Flash Report,North West,Zamfara,Nigeria — North-west Nigeria — Zamfara State Flash Report 277 (02 February 2026),https://dtm.iom.int/reports/nigeria-north-west-nigeria-zamfara-state-flash-report-277-02-february-2026,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/IOM%20Nigeria%20Flash%20Report%20North-west%20Zamfara%20277.pdf,title:flash report
61,2026,2026-02-12,Mobility Tracking – IDP & Returnee Atlas,North Central; North West,Benue; Nasarawa; Kogi; Niger; Kano; Kaduna; Katsina,Nigeria — North-Central and North-West — Round 18 IDP Atlas (October 2025),https://dtm.iom.int/reports/nigeria-north-central-and-north-west-round-18-idp-atlas-october-2025,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/IDP%20and%20Returnee%20Atlas%20NCNW%20R18%20-%20Published.pdf,title:atlas
62,2026,2026-02-02,Emergency Tracking Tool (ETT),North East,Adamawa,Nigeria — Emergency Tracking Tool Report 524 — Adamawa State (19–25 January 2026),https://dtm.iom.int/reports/nigeria-emergency-tracking-tool-report-524-adamawa-state-19-25-january-2026,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/IOM%20Nigeria%20DTM%20Emergency%20Tracking%20Tool%20%28ETT%29%20Report%20No.%20524_Adamawa.pdf,title:emergency tracking tool
63,2026,2026-01-30,Emergency Tracking Tool (ETT),North Central,Benue,Nigeria — Emergency Tracking Tool Report 54 — Benue State (19–25 January 2026),https://dtm.iom.int/reports/nigeria-emergency-tracking-tool-report-54-benue-state-19-25-january-2026,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/IOM%20Nigeria%20DTM%20Emergency%20Tracking%20Tool%20%28ETT%29%20Report%20No.%2054%20Benue%20State.pdf,title:emergency tracking tool
64,2026,2026-01-28,Incident / Flash Report,North West,Katsina,Nigeria — North-west Nigeria — Katsina State Flash Report 277 (21 January 2026),https://dtm.iom.int/reports/nigeria-north-west-nigeria-katsina-state-flash-report-277-21-january-2026,https://dtm.iom.int/sites/g/files/tmzbdl1461/files/reports/IOM%20Nigeria%20Flash%20Report%20North-west%20Katsina%20277.pdf,title:flash report
